"Explosive Intellect",15
"Golem Positioning System",16
"In Snaff's Footsteps",17
"Monkey Wrench",18
"Defusing the Problem",19
"The Things We Do For Love",20
"The Snaff Prize",21
"High Maintenance",22
"A Sparkling Rescue",23
"Taking Credit Back",24
"Snaff Would Be Proud",25
"Political Homicide",26
"Here, There, Everywhere",27
"Piece Negotiations",28
"Readings on the Rise",29
"Unscheduled Delay",30
"Unwelcome Visitors",31
"Stand By Your Krewe",32
"Gadd's Last Gizmo",33
"Any Sufficiently Advanced Science",34
"Beta Test",35
"Industrial Espionage",36
"Carry A Big Stick",37
"Split Second",38
"Serving up Trouble",39
"Short Fuse",40
"I Smell a Rat",41
"Magnum Opus",42
"Bad Business",43
"Where Credit Is Due",44
"Salt in the Wound",45
"Free Rein",46
"Flash Flood",47
"Bad Forecast",48
"A Bold New Theory",49
"Forging Permission",50
"Hazardous Environment",51
"Test Subject",52
"Field Test",53
"A Meeting of the Minds",54
"Lines of Communication",55
"Protest Too Much",56
"Pry the Eye Open",57
"Rakt and Ruin",58
"Best Laid Plans",59
"The Tribune's Call",60
"A Spy for a Spy",61
"Scrapyard Dogs",62
"Spilled Blood",63
"Ghostbore Musket",64
"Iron Grip of the Legion",65
"The Flame Advances",66
"Test Your Metal",67
"Quick and Quiet",68
"Deadly Force",69
"Ghostbore Artillery",70
"Chain of Command",71
"Time for a Promotion",72
"The End of the Line",73
"Magic Users",74
"Rage Suppression",75
"Operation: Bulwark",76
"Fury of the Dead",77
"An Unusual Inheritance",78
"Mired Deep",79
"No Negotiations",80
"Salvaging Scrap",81
"In the Ruins",82
"AWOL",83
"Follow the Trail",84
"Misplaced Faith",85
"Thicker Than Water",86
"Dishonorable Discharge",87
"Searching for the Truth",88
"Stoking the Flame",89
"A Fork in the Road",90
"Sins of the Father",91
"Tribunes in Effigy",92
"Graveyard Ornaments",93
"Undead Infestation",94
"Whispers in the Dark",95
"Dangerous Research",97
"Digging Up Answers",98
"Defending the Keep",100
"Undead Detection",101
"Ever Vigilant",102
"Research and Destroy",104
"Whispers of Vengeance",105
"The Informant",106
"Search the Premises",107
"A Society Function",108
"Chasing the Culprits",109
"The Trial of Julius Zamon",110
"Arson at the Orphanage",111
"The Hospital in Jeopardy",112
"Infiltration",113
"The Commander",114
"The Perils of Friendship",115
"Desperate Medicine",116
"Defending Shaemoor",117
"The Apothecary",118
"Going Undercover",119
"The Greater Good",120
"The Rescue",121
"Breaking the Blade",122
"Welcome Home",123
"On the Mend",124
"The Fall of Falcon Company",125
"Confronting Captain Tervelan",126
"Seek Logan's Aid",127
"Accusation",128
"Voices From the Past",129
"Rending the Mantle",130
"The Sting",131
"Drawing Out the Cult",132
"Ashes of the Past",133
"The Floating Grizwhirl",134
"Clown College",135
"The Artist's Workshop",136
"Into the Woods",137
"The Ringmaster",138
"Liberation",139
"The Orders of Tyria",140
"Brute Force",141
"Mortus Virge",142
"Triskell Quay",144
"Track the Seraph",145
"Speaker of the Dead",147
"The Sad Tale of the \"Ravenous\"",148
"Kellach's Attack",150
"The Queen's Justice",151
"The Trap",152
"The Great Hunt",154
"A Weapon of Legend",155
"The Last of the Giant-Kings",156
"Disciples of the Dragon",157
"Echoes of Ages Past",158
"Wild Spirits",159
"Out of the Skies",160
"Twilight of the Wolf",161
"A Pup's Illness",162
"Rage of the Minotaurs",163
"Through the Veil",164
"A Trap Foiled",165
"One Good Drink Deserves Another",166
"Shape of the Spirit",167
"Raven's Revered",168
"Blessed of Bear",169
"Into the Mists",170
"The Wolf Havroun",171
"Minotaur Rampant",172
"Unexpected Visitors",173
"Don't Leave Your Toys Out",174
"A New Challenger",175
"Assault on Moledavia",176
"First Attack",177
"The Finishing Blow",178
"The Semifinals",179
"The Championship Fight",180
"The Machine in Action",181
"Roadblock",182
"Among the Kodan",183
"Rumors of Trouble",184
"Darkness at Drakentelt",185
"Preserving the Balance",186
"Means to an End",187
"Dredge Technology",188
"Underground Scholar",189
"Dredge Assault",191
"Sabotage",192
"The Dredge Hideout",194
"Code Breaker",195
"Armaments",197
"Assault the Hill",198
"Sever the Head",199
"Silent Warfare",200
"Fighting the Nightmare",201
"Called to Service",202
"Mockery of Death",203
"Discovering Darkness",204
"Loved and Lost",205
"Hounds and the Hunted",206
"Saving the Stag",207
"A Good Work Spoiled",208
"Black Night, White Stag",209
"Hidden in Darkness",210
"Weakness of the Heart",211
"Awakening",212
"Holding Back the Darkness",213
"A Sly Trick",214
"Deeply Tangled Roots",215
"The Heart of Nightmare",216
"Beneath a Cold Moon",217
"Hammer and Steel",218
"The Knight's Duel",219
"Wild Growth",220
"Seeking the Zalisco",221
"The Direct Approach",222
"Trading Trickery",223
"Eye of the Sun",224
"Where Life Goes",225
